Unnamed: 0,ID,Innings,Venue,batsman1,batsman2,batsman3,batsman4,batsman5,batsman6,bowler1,bowler2,bowler3,bowler4,bowler5,tot_runs_x,batsman1_strike_rate,batsman1_batting_avg,batsman2_strike_rate,batsman2_batting_avg,batsman3_strike_rate,batsman3_batting_avg,batsman4_strike_rate,batsman4_batting_avg,batsman5_strike_rate,batsman5_batting_avg,batsman6_strike_rate,batsman6_batting_avg,bowler1_economy,bowler1_bowling_avg,bowler2_economy,bowler2_bowling_avg,bowler3_economy,bowler3_bowling_avg,bowler4_economy,bowler4_bowling_avg,bowler5_economy,bowler5_bowling_avg,tot_runs_y
55,1304093,2,"Wankhede Stadium, Mumbai",SS Iyer,B Indrajith,N Rana,AJ Finch,,,KR Sen,TA Boult,M Prasidh Krishna,,,32,104.44867055360102,34.48,56.07843137254903,9.5,98.63062767108045,38.785714285714285,96.90153423397004,23.973684210526315,0.0,0.0,0.0,0.0,8.5,17.0,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0.0,0.0,0.0,0.0,45.17741935483871
58,1304091,1,"Wankhede Stadium, Mumbai",Q de Kock,KL Rahul,DJ Hooda,,,,AR Patel,SN Thakur,Lalit Yadav,C Sakariya,Mustafizur Rahman,57,114.36517255005649,37.13636363636363,112.9144170865236,57.142857142857146,94.33643279797124,89.0,0.0,0.0,0.0,0.0,0.0,0.0,7.486111111111111,41.46153846153846,8.724137931034482,36.142857142857146,7.25,29.0,6.857142857142857,38.4,6.824561403508772,43.22222222222222,45.17741935483871
59,1304091,2,"Wankhede Stadium, Mumbai",PP Shaw,DA Warner,MR Marsh,RR Pant,,,JO Holder,Mohsin Khan,KH Pandya,PVD Chameera,,66,123.27105957556392,29.71052631578948,113.20491191289184,45.21875,114.64318064182194,38.333333333333336,105.8238591119026,52.0,0.0,0.0,0.0,0.0,8.943396226415095,52.66666666666666,5.5625,14.833333333333334,7.524590163934426,35.30769230769231,8.416666666666666,28.857142857142858,0.0,0.0,45.17741935483871
66,1304087,1,"Wankhede Stadium, Mumbai",SS Iyer,VR Iyer,B Indrajith,AJ Finch,,,Mustafizur Rahman,C Sakariya,AR Patel,SN Thakur,,29,104.44867055360102,34.48,106.17361181989664,30.818181818181817,56.07843137254903,9.5,96.90153423397004,23.973684210526315,0.0,0.0,0.0,0.0,6.824561403508772,43.22222222222222,6.857142857142857,38.4,7.486111111111111,41.46153846153846,8.724137931034482,36.142857142857146,0.0,0.0,45.17741935483871
67,1304087,2,"Wankhede Stadium, Mumbai",PP Shaw,DA Warner,MR Marsh,Lalit Yadav,,,Harshit Rana,UT Yadav,TG Southee,SP Narine,,47,123.27105957556392,29.71052631578948,113.20491191289184,45.21875,114.64318064182194,38.333333333333336,81.7948717948718,23.0,0.0,0.0,0.0,0.0,11.5,23.0,7.829383886255924,31.16981132075472,7.96078431372549,47.76470588235294,6.692857142857143,39.04166666666666,0.0,0.0,45.17741935483871
68,1304086,1,"Wankhede Stadium, Mumbai",AK Markram,KS Williamson,RA Tripathi,Abhishek Sharma,,,Yash Dayal,Mohammed Shami,AS Joseph,,,53,68.734335839599,25.0,95.4677731777835,35.92307692307692,121.82450138036552,33.869565217391305,116.19602491806438,42.57142857142857,0.0,0.0,0.0,0.0,9.333333333333334,28.0,7.651933701657459,47.75862068965517,9.923076923076923,64.5,0.0,0.0,0.0,0.0,45.17741935483871
69,1304086,2,"Wankhede Stadium, Mumbai",Shubman Gill,WP Saha,,,,,T Natarajan,M Jansen,B Kumar,,,59,110.46081606291246,40.09090909090909,113.21910425644934,27.77142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.121212121212121,29.77777777777778,7.875,37.8,6.171821305841925,32.654545454545456,0.0,0.0,0.0,0.0,45.17741935483871
72,1304084,1,"Wankhede Stadium, Mumbai",MA Agarwal,S Dhawan,PBB Rajapaksa,,,,M Theekshana,Mukesh Choudhary,MJ Santner,,,37,103.50092539419524,24.163265306122447,108.27256295114648,38.036144578313255,124.76851851851852,18.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,8.2,20.5,8.5625,24.90909090909091,8.461538461538462,55.0,0.0,0.0,0.0,0.0,45.17741935483871
73,1304084,2,"Wankhede Stadium, Mumbai",RV Uthappa,RD Gaikwad,MJ Santner,S Dube,,,R Dhawan,K Rabada,Sandeep Sharma,Arshdeep Singh,,32,110.56833854761078,33.95,93.97268274792168,34.8,78.125,10.0,67.22222222222223,30.0,0.0,0.0,0.0,0.0,7.823529411764706,33.25,8.195876288659793,31.8,6.986899563318778,29.62962962962963,8.280701754385966,31.466666666666665,0.0,0.0,45.17741935483871
74,1304083,1,"Wankhede Stadium, Mumbai",Q de Kock,MK Pandey,KL Rahul,,,,HR Shokeen,DR Sams,JD Unadkat,JJ Bumrah,RP Meredith,32,114.36517255005649,37.13636363636363,97.6621939271184,36.53333333333333,112.9144170865236,57.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,6.5,26.0,7.133333333333334,26.75,7.598290598290598,38.65217391304348,6.858064516129033,34.29032258064516,8.214285714285714,57.5,45.17741935483871
