,ID,innings,total_run,Venue,batter1,batter2,batter3,batter4,batter5,bowler1,bowler2,bowler3,bowler4
238,1254072,1,57,47,6,162,62,2,84,81,206,150,159
239,1254072,2,34,47,71,92,158,112,46,213,192,215,154
240,1254071,1,47,23,123,44,126,153,84,119,68,2,141
241,1254071,2,60,23,41,159,178,4,84,13,221,160,141
242,1254070,1,50,23,113,96,124,89,84,141,74,105,141
243,1254070,2,61,23,79,59,124,89,84,76,205,272,141
244,1254069,1,31,47,71,92,158,89,84,178,89,17,117
245,1254069,2,45,47,21,133,110,150,86,81,155,139,141
246,1254068,1,67,47,134,143,18,89,84,55,144,188,185
247,1254068,2,56,47,142,159,7,89,84,218,212,60,101
248,1254067,1,31,23,93,88,50,89,84,141,74,206,91
249,1254067,2,59,23,79,59,124,89,84,123,136,237,141
250,1254066,1,52,23,29,159,178,89,84,81,182,118,112
251,1254066,2,56,23,96,92,148,89,84,55,236,188,160
252,1254065,1,56,47,6,162,62,2,84,76,205,234,153
253,1254065,2,27,47,113,96,83,155,32,213,195,8,141
254,1254064,1,56,47,78,42,126,3,84,11,89,233,17
255,1254064,2,38,47,80,19,31,89,84,216,221,160,196
256,1254063,1,45,23,134,143,18,131,84,141,74,105,165
257,1254063,2,55,23,79,59,124,89,84,218,212,60,101
258,1254062,1,47,23,74,3,62,2,84,3,68,270,185
259,1254062,2,48,23,29,159,7,89,84,213,195,191,169
260,1254061,1,38,47,113,52,83,89,84,81,155,196,112
261,1254061,2,42,47,96,92,124,89,84,76,196,234,82
262,1254060,1,41,23,27,133,124,89,84,181,250,198,55
263,1254060,2,57,23,119,143,124,89,84,178,89,47,141
264,1254059,1,38,47,79,59,137,89,84,81,206,139,141
265,1254059,2,29,47,96,92,59,89,84,141,74,1,91
266,1254058,1,53,23,78,103,56,89,84,76,205,234,141
267,1254058,2,76,23,113,67,116,89,84,123,221,237,141
268,1237181,1,51,10,96,92,158,112,84,151,250,83,55
269,1237181,2,63,10,119,143,124,89,84,81,129,118,141
270,1237180,1,55,41,6,162,62,2,84,171,10,236,208
271,1237180,2,54,41,78,103,124,89,84,213,195,212,162
272,1237178,1,50,41,27,133,120,78,84,31,92,234,228
273,1237178,2,42,41,113,96,196,53,84,178,12,47,13
274,1237177,1,64,10,29,159,7,54,84,141,74,105,165
275,1237177,2,46,10,79,59,124,89,84,55,236,188,141
276,1216547,1,58,10,78,103,56,89,84,81,229,150,141
277,1216547,2,58,10,71,92,158,89,84,216,204,246,141
278,1216546,1,52,10,119,143,44,89,84,97,112,191,172
279,1216546,2,50,10,6,49,105,2,84,70,184,276,198
280,1216545,1,62,41,29,159,57,54,87,40,53,86,57
281,1216545,2,36,41,27,133,120,78,30,55,13,2,141
282,1216544,1,48,10,113,135,116,33,84,151,250,238,71
283,1216544,2,45,10,119,143,82,89,84,31,211,89,228
284,1216543,1,52,10,79,59,147,89,84,199,155,97,141
285,1216543,2,56,10,71,92,124,89,84,141,74,1,91
286,1216542,1,52,10,29,159,57,95,59,216,204,15,208
287,1216542,2,39,10,78,103,56,3,6,119,13,2,221
288,1216541,1,46,41,125,24,31,89,84,97,112,8,72
289,1216541,2,59,41,45,3,105,89,84,117,210,11,120
290,1216540,1,41,40,126,96,83,89,84,141,188,71,91
291,1216540,2,51,40,79,59,89,89,84,31,205,234,153
292,1216539,1,66,10,71,92,158,89,84,216,204,246,204
293,1216539,2,62,10,78,103,124,89,84,81,59,227,141
294,1216538,1,53,40,119,143,124,89,84,156,193,8,97
295,1216538,2,40,40,45,3,187,2,84,70,212,276,55
296,1216537,1,53,41,125,24,124,89,84,76,196,234,82
297,1216537,2,69,41,83,36,83,89,84,178,100,148,46
298,1216536,1,54,10,29,159,57,95,84,2,188,3,91
299,1216536,2,38,10,52,25,89,89,84,119,3,66,141
300,1216535,1,48,10,78,103,169,38,84,157,71,215,72
301,1216535,2,52,10,148,3,141,2,84,216,219,24,121
302,1216534,1,42,10,71,92,158,89,84,151,85,238,141
303,1216534,2,46,10,119,143,124,89,84,174,59,196,141
304,1216533,1,52,41,83,36,83,89,84,21,219,273,141
305,1216533,2,70,41,78,103,124,89,84,173,196,95,153
306,1216532,1,50,41,125,24,124,89,84,119,66,188,3
307,1216532,2,44,41,29,43,184,89,84,11,11,17,40
308,1216531,1,46,40,79,59,137,89,84,157,86,215,135
309,1216531,2,32,40,6,84,177,89,84,141,2,71,91
310,1216530,1,51,10,119,143,19,89,84,31,92,138,153
311,1216530,2,56,10,2,36,83,89,84,151,250,238,71
312,1216529,1,55,41,71,92,158,89,84,157,195,212,72
313,1216529,2,37,41,74,3,177,104,84,150,59,229,141
314,1216528,1,61,10,125,24,26,89,84,141,74,105,141
315,1216528,2,48,10,121,59,137,89,84,11,89,11,141
316,1216527,1,45,40,29,159,57,95,53,162,92,138,153
317,1216527,2,39,40,34,52,124,89,84,4,144,2,160
318,1216526,1,47,41,134,143,19,131,49,216,219,24,12
319,1216526,2,34,41,78,103,56,129,3,218,72,238,141
320,1216525,1,35,10,45,3,177,104,70,60,188,105,141
321,1216525,2,38,10,79,113,73,89,84,157,195,8,154
322,1216524,1,44,10,23,143,171,89,84,4,176,2,15
323,1216524,2,69,10,29,159,57,89,84,218,56,83,55
324,1216523,1,22,41,125,24,26,29,75,150,59,173,141
325,1216523,2,67,41,71,92,158,89,84,40,12,11,141
326,1216522,1,30,10,78,103,11,129,3,2,74,206,157
327,1216522,2,59,10,79,59,89,110,84,187,126,236,16
328,1216521,1,39,40,71,92,117,121,71,55,5,258,141
329,1216521,2,33,40,146,29,178,39,53,150,59,173,141
330,1216520,1,43,40,34,135,83,89,84,157,195,164,141
331,1216520,2,45,40,6,84,177,89,84,211,92,234,82
332,1216519,1,34,10,103,143,124,89,84,60,188,194,91
333,1216519,2,34,10,79,59,89,101,84,218,56,198,141
334,1216518,1,46,10,132,103,124,89,84,178,12,148,86
335,1216518,2,42,10,125,17,32,21,84,216,219,135,141
336,1216517,1,49,10,34,135,83,89,84,174,59,97,159
337,1216517,2,49,10,71,92,158,112,84,162,92,264,141
338,1216516,1,38,10,6,84,177,104,84,55,5,258,3
339,1216516,2,39,10,29,159,178,39,68,213,154,84,8
340,1216515,1,42,40,12,129,171,51,84,178,12,100,193
341,1216515,2,44,40,125,17,124,89,84,16,56,198,55
342,1216514,1,54,41,119,143,15,12,84,141,74,206,141
343,1216514,2,44,41,52,113,89,89,84,218,56,238,141
344,1216513,1,39,10,71,92,148,121,78,7,193,215,141
345,1216513,2,23,10,6,49,177,104,84,150,59,173,141
346,1216512,1,27,41,6,11,105,104,2,2,172,71,141
347,1216512,2,33,41,52,113,124,89,84,157,8,191,141
348,1216511,1,40,41,71,92,124,89,84,70,212,276,52
349,1216511,2,33,41,119,143,15,89,84,150,59,97,141
350,1216510,1,45,10,116,81,158,89,84,77,247,139,91
351,1216510,2,52,10,83,59,124,89,84,81,231,196,188
352,1216509,1,44,40,119,53,83,14,84,84,7,92,196
353,1216509,2,31,40,8,113,69,89,84,147,74,86,63
354,1216508,1,61,41,20,162,124,89,84,218,68,66,218
355,1216508,2,48,41,73,155,183,4,84,160,205,207,165
356,1216507,1,38,10,29,159,181,6,85,70,212,20,131
357,1216507,2,31,10,32,143,19,89,84,11,136,89,221
358,1216506,1,36,41,6,135,132,54,13,12,209,268,120
359,1216506,2,44,41,42,79,72,89,84,141,166,198,153
360,1216505,1,46,41,52,96,124,89,84,60,89,70,141
361,1216505,2,30,41,119,53,23,53,84,77,129,273,86
362,1216504,1,30,10,29,159,12,145,84,191,7,92,196
363,1216504,2,57,10,8,113,69,89,84,11,136,89,168
364,1216503,1,24,41,73,158,178,4,84,181,150,123,19
365,1216503,2,40,41,32,143,19,89,84,218,66,67,4
366,1216502,1,31,40,116,136,148,70,84,141,193,198,141
367,1216502,2,65,40,98,3,124,89,84,150,231,97,141
368,1216501,1,37,41,20,105,187,33,22,12,209,268,141
369,1216501,2,44,41,50,44,98,89,84,160,205,150,165
370,1216500,1,41,40,120,129,83,89,84,218,105,219,59
371,1216500,2,28,40,73,155,197,146,4,60,89,165,141
372,1216499,1,31,41,8,113,14,89,84,31,129,105,212
373,1216499,2,62,41,83,59,57,89,84,19,7,244,142
374,1216498,1,44,10,32,143,124,89,84,160,188,175,141
375,1216498,2,50,10,20,36,124,89,84,181,150,20,101
376,1216497,1,45,41,76,81,124,89,84,218,66,107,218
377,1216497,2,33,41,73,155,20,146,4,81,231,196,141
378,1216496,1,48,40,120,129,83,89,84,141,193,198,141
379,1216496,2,62,40,6,108,124,89,84,60,89,165,141
380,1216495,1,63,40,50,44,98,89,84,215,12,89,221
381,1216495,2,67,40,29,159,124,89,84,12,209,268,141
382,1216494,1,36,41,132,5,56,11,84,31,224,139,78
383,1216494,2,26,41,52,43,116,89,84,191,219,237,141
384,1216493,1,42,10,76,81,158,89,84,160,188,175,141
385,1216493,2,49,10,20,36,129,89,84,81,59,196,216
386,1216492,1,43,41,120,129,83,89,84,11,92,149,141
387,1216492,2,38,41,29,159,126,6,132,60,73,84,141
388,1181768,1,33,34,50,152,98,110,136,16,212,23,131
389,1181768,2,32,34,51,143,19,89,84,12,209,148,230
390,1181767,1,45,9,20,36,124,89,84,31,129,91,212
391,1181767,2,37,9,83,59,57,78,84,160,188,207,141
392,1181766,1,77,9,6,108,157,89,84,180,221,237,204
393,1181766,2,45,9,123,113,169,132,84,141,193,38,141
394,1181764,1,40,21,104,143,19,104,84,81,59,118,141
395,1181764,2,44,21,76,81,158,112,84,123,212,23,71
396,1178431,1,50,46,52,18,57,89,84,218,198,94,218
397,1178431,2,57,46,142,24,124,89,84,216,129,100,212
398,1178430,1,70,31,29,159,124,89,84,141,193,234,141
399,1178430,2,46,31,6,108,157,89,84,111,92,173,141
400,1178429,1,57,20,32,143,124,89,84,3,74,191,74
401,1178429,2,41,20,120,129,83,22,84,123,85,23,198
402,1178428,1,32,0,34,162,129,18,84,6,219,92,141
403,1178428,2,38,0,132,113,124,89,84,160,188,150,141
404,1178427,1,45,31,71,85,124,89,84,137,102,14,120
405,1178427,2,40,31,50,84,109,110,136,81,59,196,141
406,1178426,1,42,46,29,159,78,89,84,218,198,173,141
407,1178426,2,65,46,27,155,183,89,84,11,92,149,141
408,1178425,1,37,21,50,84,98,77,136,100,59,254,141
409,1178425,2,28,21,76,81,148,89,84,12,102,148,135
410,1178424,1,20,20,120,129,23,53,84,160,205,206,141
411,1178424,2,29,20,20,105,49,109,21,60,89,173,141
412,1178423,1,42,34,52,140,57,89,84,76,136,258,141
413,1178423,2,41,34,29,159,78,89,84,31,129,100,78
414,1178422,1,31,11,32,143,19,104,84,19,7,244,141
415,1178422,2,18,11,132,113,69,89,84,181,150,20,141
416,1178421,1,57,0,27,155,124,89,84,12,102,135,141
417,1178421,2,42,0,50,152,109,89,84,218,198,3,141
418,1178420,1,34,38,29,103,192,147,84,160,205,173,141
419,1178420,2,37,38,20,78,49,93,20,76,136,258,141
420,1178419,1,40,21,6,108,157,89,84,31,129,91,234
421,1178419,2,45,21,52,40,57,78,84,141,38,62,170
422,1178418,1,49,11,50,90,147,89,84,78,20,244,7
423,1178418,2,34,11,132,113,69,89,84,110,14,202,89
424,1178417,1,34,20,71,85,158,89,84,91,73,86,154
425,1178417,2,64,20,120,129,124,89,84,81,59,196,188
426,1178416,1,35,21,32,143,19,89,84,33,172,45,141
427,1178416,2,24,21,98,3,157,89,84,70,212,23,131
428,1178415,1,42,38,29,159,126,151,84,160,205,186,141
429,1178415,2,67,38,70,17,129,89,84,76,136,258,141
430,1178414,1,41,20,37,59,57,89,84,59,74,86,141
431,1178414,2,41,20,120,129,83,22,84,31,129,91,141
432,1178413,1,47,34,132,113,124,89,84,81,59,196,141
433,1178413,2,43,34,76,81,158,89,84,136,94,244,196
434,1178412,1,49,0,5,143,19,89,84,12,209,103,141
435,1178412,2,31,0,50,44,109,3,84,70,150,69,198
436,1178411,1,35,38,20,78,129,33,84,31,100,91,141
437,1178411,2,43,38,52,40,124,89,84,160,205,206,149
438,1178410,1,43,11,119,30,83,89,84,111,92,22,141
439,1178410,2,29,11,9,103,184,152,84,60,89,70,141
440,1178409,1,48,0,27,155,183,89,84,141,193,198,141
441,1178409,2,38,0,6,108,15,119,55,218,198,47,141
442,1178408,1,15,34,76,81,158,112,84,31,93,273,141
443,1178408,2,33,34,37,59,57,89,84,81,182,59,141
444,1178407,1,50,31,5,143,19,89,84,111,92,11,141
445,1178407,2,23,31,146,29,29,91,132,70,212,160,62
446,1178406,1,49,46,70,17,129,89,84,218,198,47,59
447,1178406,2,79,46,27,155,183,89,84,160,196,186,165
448,1178405,1,34,34,6,108,157,89,84,30,209,268,162
449,1178405,2,40,34,50,90,147,89,84,141,193,234,38
450,1178404,1,55,11,76,81,124,89,84,19,7,244,79
451,1178404,2,48,11,132,113,16,89,84,81,59,60,159
452,1178403,1,50,31,119,30,124,89,84,30,209,268,162
453,1178403,2,52,31,50,90,124,89,84,60,89,191,95
454,1178402,1,39,46,98,3,157,89,84,70,212,160,141
455,1178402,2,33,46,5,143,141,2,15,141,38,45,170
456,1178401,1,43,11,132,113,124,89,84,218,198,53,141
457,1178401,2,66,11,27,155,124,89,84,187,94,194,196
458,1178400,1,42,38,76,81,158,89,84,76,13,263,13
459,1178400,2,52,38,93,29,29,89,84,81,59,196,141
460,1178399,1,62,46,20,36,124,89,84,157,38,45,194
461,1178399,2,49,46,6,108,157,54,84,160,205,173,141
462,1178398,1,33,21,52,40,57,78,133,218,53,219,141
