,ID,Innings,Venue,batsman1,batsman2,batsman3,batsman4,batsman5,batsman6,bowler1,bowler2,bowler3,bowler4,bowler5,tot_runs,batsman1_strike_rate,batsman1_batting_avg,batsman2_strike_rate,batsman2_batting_avg,batsman3_strike_rate,batsman3_batting_avg,batsman4_strike_rate,batsman4_batting_avg,batsman5_strike_rate,batsman5_batting_avg,batsman6_strike_rate,batsman6_batting_avg,bowler1_economy,bowler1_bowling_avg,bowler2_economy,bowler2_bowling_avg,bowler3_economy,bowler3_bowling_avg,bowler4_economy,bowler4_bowling_avg,bowler5_economy,bowler5_bowling_avg
1790,336037,1,"Rajiv Gandhi International Stadium, Uppal",HH Gibbs,Y Venugopal Rao,SB Styris,AC Gilchrist,NA,NA,M Ntini,MS Gony,NA,NA,NA,26,89.3966493621927,29.8,67.06770081770081,25.33333333333333,72.22222222222221,8.0,112.42119110480262,29.46808510638298,0,0,0,0,7.0,36.4,8.91358024691358,40.11111111111112,0,0,0,0,0,0
1791,336037,2,"Rajiv Gandhi International Stadium, Uppal",PA Patel,SK Raina,SP Fleming,NA,NA,NA,DP Vijaykumar,Shahid Afridi,RP Singh,NA,NA,44,100.89885541728164,26.816901408450704,115.83327464503218,34.666666666666664,98.97140522875816,20.0,0,0,0,0,0,0,7.411764705882353,42.0,6.5,26.0,7.407185628742515,35.34285714285714,0,0,0,0
1792,336036,1,Sawai Mansingh Stadium,ST Jayasuriya,SR Tendulkar,NA,NA,NA,NA,SR Watson,YK Pathan,Pankaj Singh,Sohail Tanvir,NA,29,105.93046550399492,27.05263157894737,102.01030385410918,45.72,0,0,0,0,0,0,0,0,7.302158273381295,29.852941176470587,6.813559322033898,28.714285714285715,7.8,24.375,6.590909090909091,24.166666666666668,0,0
1793,336036,2,Sawai Mansingh Stadium,Kamran Akmal,YK Pathan,SA Asnodkar,SR Watson,NA,NA,A Nehra,SM Pollock,CRD Fernando,NA,NA,36,123.95833333333331,25.5,121.7773497051572,30.08333333333333,113.1593715409806,30.88888888888889,100.3576376295124,34.65853658536585,0,0,0,0,7.579234972677596,34.675,6.264705882352941,26.625,6.923076923076923,12.857142857142858,0,0,0,0
1794,336035,1,Eden Gardens,JR Hopes,SE Marsh,KC Sangakkara,NA,NA,NA,I Sharma,Umar Gul,BAW Mendis,NA,NA,47,104.00481404683087,23.857142857142858,100.45437744686728,38.95,98.03357753357754,37.285714285714285,0,0,0,0,0,0,7.308056872037914,35.04545454545455,7.0,10.5,6.7,33.5,0,0,0,0
1795,336035,2,Eden Gardens,DB Das,DJ Hussey,Salman Butt,SC Ganguly,NA,NA,IK Pathan,S Sreesanth,RR Powar,NA,NA,51,76.19047619047619,14.5,102.87749287749288,44.66666666666666,96.9671201814059,26.0,84.86901488978373,27.84210526315789,0,0,0,0,7.215686274509804,39.42857142857143,7.778947368421052,26.392857142857142,7.772727272727272,42.75,0,0,0,0
1796,336034,1,M Chinnaswamy Stadium,W Jaffer,B Chipli,V Kohli,NA,NA,NA,SB Styris,DP Vijaykumar,Shahid Afridi,RP Singh,NA,46,76.21880570409982,15.4,73.87987012987013,11.0,101.37329644052625,37.45614035087719,0,0,0,0,0,0,6.428571428571429,45.0,7.411764705882353,42.0,6.5,26.0,7.407185628742515,35.34285714285714,0,0
1797,336034,2,M Chinnaswamy Stadium,HH Gibbs,VVS Laxman,RG Sharma,AC Gilchrist,NA,NA,DW Steyn,P Kumar,Z Khan,NA,NA,33,89.3966493621927,29.8,82.42794140301064,20.77777777777778,96.96599230179808,30.25925925925926,112.42119110480262,29.46808510638298,0,0,0,0,6.502645502645502,36.14705882352941,6.919847328244275,45.325,6.875576036866359,28.150943396226417,0,0,0,0
1798,336033,1,"MA Chidambaram Stadium, Chepauk",GC Smith,SA Asnodkar,NA,NA,NA,NA,M Ntini,JA Morkel,MS Gony,NA,NA,67,78.60582251929536,28.76923076923077,113.1593715409806,30.88888888888889,0,0,0,0,0,0,0,0,7.0,36.4,8.666666666666666,38.23529411764706,8.91358024691358,40.11111111111112,0,0,0,0
1799,336033,2,"MA Chidambaram Stadium, Chepauk",PA Patel,SK Raina,SP Fleming,NA,NA,NA,Pankaj Singh,YK Pathan,MM Patel,Sohail Tanvir,NA,65,100.89885541728164,26.816901408450704,115.83327464503218,34.666666666666664,98.97140522875816,20.0,0,0,0,0,0,0,7.8,24.375,6.813559322033898,28.714285714285715,7.192660550458716,27.03448275862069,6.590909090909091,24.166666666666668,0,0
