,ID,Innings,tot_runs_x,batsman1_strike_rate,batsman1_batting_avg,batsman2_strike_rate,batsman2_batting_avg,batsman3_strike_rate,batsman3_batting_avg,batsman4_strike_rate,batsman4_batting_avg,batsman5_strike_rate,batsman5_batting_avg,batsman6_strike_rate,batsman6_batting_avg,bowler1_economy,bowler1_bowling_avg,bowler2_economy,bowler2_bowling_avg,bowler3_economy,bowler3_bowling_avg,bowler4_economy,bowler4_bowling_avg,bowler5_economy,bowler5_bowling_avg,tot_runs_y,Arun Jaitley Stadium,"Arun Jaitley Stadium, Delhi",Barabati Stadium,Brabourne Stadium,"Brabourne Stadium, Mumbai",Buffalo Park,De Beers Diamond Oval,Dr DY Patil Sports Academy,"Dr DY Patil Sports Academy, Mumbai",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Dubai International Cricket Stadium,Eden Gardens,"Eden Gardens, Kolkata",Feroz Shah Kotla,Green Park,Himachal Pradesh Cricket Association Stadium,Holkar Cricket Stadium,JSCA International Stadium Complex,Kingsmead,M Chinnaswamy Stadium,M.Chinnaswamy Stadium,MA Chidambaram Stadium,"MA Chidambaram Stadium, Chepauk","MA Chidambaram Stadium, Chepauk, Chennai",Maharashtra Cricket Association Stadium,"Maharashtra Cricket Association Stadium, Pune","Narendra Modi Stadium, Ahmedabad",Nehru Stadium,New Wanderers Stadium,Newlands,OUTsurance Oval,Punjab Cricket Association IS Bindra Stadium,"Punjab Cricket Association IS Bindra Stadium, Mohali","Punjab Cricket Association Stadium, Mohali",Rajiv Gandhi International Stadium,"Rajiv Gandhi International Stadium, Uppal","Sardar Patel Stadium, Motera",Saurashtra Cricket Association Stadium,Sawai Mansingh Stadium,Shaheed Veer Narayan Singh International Stadium,Sharjah Cricket Stadium,Sheikh Zayed Stadium,St George's Park,Subrata Roy Sahara Stadium,SuperSport Park,"Vidarbha Cricket Association Stadium, Jamtha",Wankhede Stadium,"Wankhede Stadium, Mumbai","Zayed Cricket Stadium, Abu Dhabi"
1579,598012,2,31,96.7268005550443,43.578947368421055,115.83327464503218,34.666666666666664,101.00588444198652,32.791666666666664,61.751898535020125,30.33333333333333,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.269230769230769,18.11111111111111,7.380952380952381,31.0,7.407185628742515,35.34285714285714,8.533333333333333,32.0,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580,598002,1,41,87.296645153788,44.11111111111112,102.01030385410918,45.72,96.96599230179808,30.25925925925926,36.82539682539683,9.0,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,9.311111111111112,46.55555555555556,6.614035087719298,25.133333333333333,143.2242848988499,684.8430829589278,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1581,598002,2,36,96.7268005550443,43.578947368421055,115.83327464503218,34.666666666666664,101.00588444198652,32.791666666666664,100.515873015873,24.6,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,7.1937984496124034,30.933333333333334,7.192660550458716,27.03448275862069,8.0,32.0,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,548381,1,54,96.7268005550443,43.578947368421055,101.00588444198652,32.791666666666664,319.36826165115144,103.30395777397756,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,7.613333333333333,31.72222222222222,6.692857142857143,39.04166666666666,7.160493827160494,52.72727272727273,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1583,548381,2,56,83.63177838135393,26.33333333333333,106.69287767793648,36.142857142857146,90.79866502772862,31.393939393939394,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.5,21.666666666666668,8.666666666666666,38.23529411764706,6.721590909090909,25.717391304347824,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,548380,1,52,96.7268005550443,43.578947368421055,101.00588444198652,32.791666666666664,319.36826165115144,103.30395777397756,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,12.0,12.0,8.19672131147541,27.77777777777778,8.890625,40.642857142857146,7.829383886255924,31.16981132075472,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1585,548380,2,46,113.20491191289184,45.21875,91.18274347922863,51.66666666666666,126.33711852586782,27.46551724137931,107.62302886797772,27.77272727272728,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.5,21.666666666666668,8.666666666666666,38.23529411764706,143.2242848988499,684.8430829589278,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,548364,1,27,113.20491191289184,45.21875,126.33711852586782,27.46551724137931,50.0,2.0,67.06770081770081,25.33333333333333,107.62302886797772,27.77272727272728,91.35193004312136,22.454545454545453,6.5,21.666666666666668,8.666666666666666,38.23529411764706,143.2242848988499,684.8430829589278,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,548364,2,45,96.7268005550443,43.578947368421055,101.00588444198652,32.791666666666664,319.36826165115144,103.30395777397756,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,7.829383886255924,31.16981132075472,8.890625,40.642857142857146,7.33112582781457,30.75,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,548352,1,56,101.00588444198652,32.791666666666664,115.83327464503218,34.666666666666664,112.06102799701122,43.52941176470589,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.502645502645502,36.14705882352941,8.75,46.66666666666666,6.333333333333333,25.33333333333333,8.533333333333333,32.0,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1589,548352,2,47,100.89885541728164,26.816901408450704,108.27256295114648,38.036144578313255,55.24455691367457,15.285714285714286,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.5,21.666666666666668,8.666666666666666,38.23529411764706,6.721590909090909,25.717391304347824,8.0,30.4,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,548347,1,43,96.7268005550443,43.578947368421055,115.83327464503218,34.666666666666664,112.06102799701122,43.52941176470589,100.515873015873,24.6,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.369565217391305,20.928571428571427,6.813559322033898,28.714285714285715,6.692857142857143,39.04166666666666,7.160493827160494,52.72727272727273,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,548347,2,37,106.69287767793648,36.142857142857146,109.57755965963696,27.31578947368421,90.79866502772862,31.393939393939394,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.721590909090909,25.717391304347824,8.666666666666666,38.23529411764706,8.6875,139.0,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,548343,1,43,90.27729786229116,20.966666666666665,100.45437744686728,38.95,319.36826165115144,103.30395777397756,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.721590909090909,25.717391304347824,8.666666666666666,38.23529411764706,7.454545454545454,27.33333333333333,8.6875,139.0,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1593,548343,2,48,115.83327464503218,34.666666666666664,112.06102799701122,43.52941176470589,61.751898535020125,30.33333333333333,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,8.066666666666666,27.923076923076923,6.919847328244275,45.325,7.25,29.0,6.791666666666667,27.166666666666668,5.923076923076923,15.4,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,548332,1,41,86.66666666666667,23.0,94.86145391526014,53.23529411764706,96.78070320910912,32.523809523809526,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.721590909090909,25.717391304347824,7.454545454545454,27.33333333333333,8.0,30.4,7.481481481481482,36.72727272727273,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,548332,2,45,112.06102799701122,43.52941176470589,61.751898535020125,30.33333333333333,319.36826165115144,103.30395777397756,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,7.0,28.0,6.875,55.0,6.75,13.5,7.461538461538462,32.333333333333336,7.1875,28.75,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1596,548330,1,42,112.06102799701122,43.52941176470589,61.751898535020125,30.33333333333333,319.36826165115144,103.30395777397756,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,6.230769230769231,40.5,7.579234972677596,34.675,6.171821305841925,32.654545454545456,7.133333333333334,30.571428571428573,0.5630810213996252,2.442957590058266,47.114583333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
